benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-eventsnum,vamos-dropped,vamos-holes
fib_safe-10-racy.i , 2,0.0,0.0,0.14,23228,2,0.23,0.01,0.25,61680,2,0.0,0.0,0.04,1960,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,22592,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1944,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,22672,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1780,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,23720,2,0.23,0.02,0.25,61684,2,0.0,0.0,0.04,1768,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,23364,2,0.23,0.01,0.25,61688,11,0.0,0.0,0.04,1792,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,23292,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1804,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,22796,2,0.24,0.0,0.25,61684,2,0.0,0.0,0.04,1764,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,23652,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1824,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,24352,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,3852,225,0,0
fib_safe-10-racy.i , 2,0.0,0.0,0.14,24332,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1796,225,0,0
fib_safe-10.i , 0,0.0,0.0,0.14,22192,0,0.24,0.01,0.25,62132,2,0.0,0.0,0.04,1836,225,0,0
fib_safe-10.i , 0,0.0,0.01,1.14,23160,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1844,225,0,0
fib_safe-10.i , 0,0.0,0.0,1.14,22072,0,0.23,0.01,0.25,62132,2,0.0,0.0,0.04,1780,225,0,0
fib_safe-10.i , 0,0.0,0.0,0.14,22688,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1788,225,0,0
fib_safe-10.i , 0,0.0,0.0,1.14,23620,0,0.23,0.01,0.25,62132,2,0.0,0.0,0.04,3860,225,0,0
fib_safe-10.i , 0,0.0,0.0,1.14,22260,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1840,225,0,0
fib_safe-10.i , 0,0.0,0.0,0.14,22408,0,0.24,0.0,0.25,62136,2,0.0,0.0,0.04,1796,225,0,0
fib_safe-10.i , 0,0.0,0.01,1.14,22000,0,0.25,0.0,0.25,62136,11,0.0,0.0,0.04,1692,225,0,0
fib_safe-10.i , 0,0.0,0.0,0.14,23644,0,0.23,0.01,0.25,62136,1,0.0,0.0,0.04,1844,185,0,0
fib_safe-10.i , 0,0.0,0.01,1.14,21904,0,0.22,0.02,0.25,62136,2,0.0,0.0,0.04,1768,225,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23216,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1820,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23816,2,0.24,0.0,0.25,61684,2,0.0,0.0,0.04,1808,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23264,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1824,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,22920,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1864,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,24160,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1812,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23124,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1848,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23752,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1764,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23668,2,0.22,0.02,0.25,61684,2,0.0,0.0,0.04,1808,245,0,0
fib_safe-11-racy.i , 2,0.0,0.0,0.14,23852,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,3820,245,0,0
