benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
airline-10.i , 1,0.0,0.01,0.52,19580,1,0.45,0.02,0.47,50528,36,0.0,0.0,0.04,1868,3608,90,0,0
airline-15.i , 1,0.0,0.01,0.53,19656,1,0.45,0.02,0.47,50524,56,0.0,0.0,0.04,1860,3616,130,0,0
airline-20.i , 1,0.01,0.0,0.52,19556,2,0.45,0.03,0.48,50524,76,0.0,0.0,0.04,1916,3804,166,0,0
airline-25.i , 1,0.0,0.0,0.52,19736,2,0.47,0.01,0.48,50524,96,0.0,0.0,0.04,1940,3924,206,0,0
airline-5.i , 1,0.0,0.0,0.52,19360,1,0.44,0.02,0.47,50524,16,0.0,0.0,0.04,1772,3528,50,0,0
bigshot_p.i , 2,0.01,0.0,0.52,19240,2,0.45,0.01,0.47,50532,8,0.0,0.0,0.04,1752,3408,11,0,0
bigshot_s.i , 0,0.0,0.01,0.01,18556,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.04,1728,3476,11,0,0
bigshot_s2.i , 0,0.0,0.01,0.01,18508,0,0.44,0.02,0.47,49788,0,0.0,0.0,0.04,1752,3504,11,0,0
circular_buffer_bad.i , 0,0.0,0.0,0.01,18728,0,0.45,0.01,0.47,50508,0,0.0,0.0,0.04,1720,3472,66,0,0
circular_buffer_ok.i , 0,0.0,0.01,0.01,18792,0,0.45,0.02,0.47,50244,0,0.0,0.0,0.04,1808,3516,68,0,0
condvar.i , 2,0.0,0.0,0.52,19128,1,0.46,0.01,0.47,49820,5,0.0,0.0,0.04,1768,3456,9,0,0
dekker-b.i , 2,0.0,0.01,0.52,19060,5,0.45,0.01,0.47,50524,16,0.0,0.0,0.04,1804,3408,17,0,0
dekker.i , 0,0.0,0.01,0.01,18684,0,0.44,0.02,0.46,49792,0,0.0,0.0,0.04,1736,3412,33,0,0
divinefifo-bug_1w1r.i , 15,0.0,0.01,0.53,19192,7,0.44,0.02,0.47,50256,916,0.0,0.0,0.04,1728,3524,437,0,0
divinefifo_1w1r.i , 15,0.01,0.01,0.53,19164,6,0.45,0.02,0.47,50260,948,0.0,0.0,0.04,1780,3568,447,0,0
elimination_backoff_stack.i , 0,0.0,0.01,0.13,19772,0,0.44,0.02,0.59,50268,0,0.0,0.0,0.16,1704,3488,34,0,0
