type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
align,8,1024,40000,40000,0,0,6.03
align,8,1024,40000,40000,4000,4000,6.02
align,8,1024,40000,40000,0,0,6.02
align,8,1024,40000,40000,4000,4000,6.02
align,8,1024,40000,40000,0,0,6.09
align,8,1024,40000,39875,3988,4000,6.15
align,8,1024,40000,40000,0,0,6.05
align,8,1024,40000,40000,4000,4000,6.01
align,8,1024,40000,40000,0,0,6.05
align,8,1024,40000,40000,4000,4000,6.02
align,8,1024,40000,40000,0,0,6.04
align,8,1024,40000,40000,4000,4000,6.18
align,8,1024,40000,40000,0,0,6.09
align,8,1024,40000,40000,4000,4000,6.01
align,8,1024,40000,40000,0,0,6.03
align,8,1024,40000,40000,4000,4000,6.12
align,8,1024,40000,40000,0,0,6.04
align,8,1024,40000,40000,4000,4000,6.01
align,8,1024,40000,40000,0,0,6.04
align,8,1024,40000,40000,4000,4000,6.02
align,8,1024,40000,40000,0,0,6.01
align,8,1024,40000,40000,4000,4000,6.01
align,8,128,40000,25989,0,0,6.01
align,8,128,40000,19651,1960,4000,6.01
align,8,128,40000,20612,0,0,6.01
align,8,128,40000,17125,1708,4000,6.10
align,8,128,40000,20358,0,0,6.01
align,8,128,40000,23860,2387,4000,6.01
align,8,128,40000,20639,0,0,6.05
align,8,128,40000,19481,1943,4000,6.01
align,8,128,40000,20525,0,0,6.01
align,8,128,40000,19307,1929,4000,6.02
align,8,128,40000,19889,0,0,6.02
align,8,128,40000,19581,1954,4000,6.02
align,8,128,40000,21818,0,0,6.07
align,8,128,40000,19809,1976,4000,6.05
align,8,128,40000,12612,0,0,6.16
align,8,128,40000,19182,1913,4000,6.01
align,8,128,40000,20633,0,0,6.03
align,8,128,40000,19320,1927,4000,6.01
align,8,128,40000,20460,0,0,6.05
align,8,128,40000,20732,2069,4000,6.02
align,8,128,40000,19458,0,0,6.02
align,8,128,40000,19481,1943,4000,6.02
align,8,16,40000,3147,0,0,6.07
align,8,16,40000,2798,273,4000,6.05
align,8,16,40000,2544,0,0,6.05
align,8,16,40000,2511,249,4000,6.02
align,8,16,40000,2387,0,0,6.02
align,8,16,40000,2494,249,4000,6.04
align,8,16,40000,4590,0,0,6.05
align,8,16,40000,2667,266,4000,6.01
align,8,16,40000,2639,0,0,6.01
align,8,16,40000,5131,504,4000,6.01
align,8,16,40000,3974,0,0,6.02
align,8,16,40000,2879,293,4000,6.10
align,8,16,40000,5287,0,0,6.02
align,8,16,40000,2405,243,4000,6.01
align,8,16,40000,4649,0,0,6.02
align,8,16,40000,4597,454,4000,6.01
align,8,16,40000,2645,0,0,6.01
align,8,16,40000,2568,251,4000,6.01
align,8,16,40000,2429,0,0,6.03
align,8,16,40000,2252,222,4000,6.11
align,8,16,40000,2939,0,0,6.03
align,8,16,40000,1770,175,4000,6.15
align,8,256,40000,39301,0,0,6.01
align,8,256,40000,37591,3755,4000,6.01
align,8,256,40000,39298,0,0,6.01
align,8,256,40000,37595,3757,4000,6.01
align,8,256,40000,37618,0,0,6.04
align,8,256,40000,37240,3720,4000,6.02
align,8,256,40000,32787,0,0,6.12
align,8,256,40000,37504,3744,4000,6.06
align,8,256,40000,37175,0,0,6.06
