c-native,3.555
c-drio,3.154936
c-c-empty,3.156573,0
c-c-empty,3.157486,0
c-c-dm,3.233023,0
c-c-dm,3.220598,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.3
c-c-dm-errs-good,3.204557,0
c-c-dm-errs-bad,3.204278,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.26
c-native,3.557036
c-drio,3.149773
c-c-empty,3.19076,0
c-c-empty,3.155884,0
c-c-dm,3.211388,0
c-c-dm,3.206156,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.26
c-c-dm-errs-good,3.201682,0
c-c-dm-errs-bad,3.221087,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.29
c-native,3.553357
c-drio,3.152652
c-c-empty,3.152017,0
c-c-empty,3.173245,0
c-c-dm,3.207461,0
c-c-dm,3.214427,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.27
c-c-dm-errs-good,3.199734,0
c-c-dm-errs-bad,3.214379,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
c-native,3.55447
c-drio,3.153072
c-c-empty,3.165574,0
c-c-empty,3.155587,0
c-c-dm,3.226228,0
c-c-dm,3.280185,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.33
c-c-dm-errs-good,3.204413,0
c-c-dm-errs-bad,3.222422,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.29
c-native,3.555815
c-drio,3.15308
c-c-empty,3.159119,0
c-c-empty,3.162226,0
c-c-dm,3.211233,0
c-c-dm,3.206649,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.27
c-c-dm-errs-good,3.20959,0
c-c-dm-errs-bad,3.20117,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.26
c-native,3.555287
c-drio,3.204004
c-c-empty,3.159854,0
c-c-empty,3.156141,0
c-c-dm,3.246222,0
c-c-dm,3.206912,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.3
c-c-dm-errs-good,3.214895,0
c-c-dm-errs-bad,3.211228,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
c-native,3.557986
c-drio,3.156366
c-c-empty,3.150897,0
c-c-empty,3.158932,0
c-c-dm,3.204343,0
c-c-dm,3.25764,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.31
c-c-dm-errs-good,3.200283,0
c-c-dm-errs-bad,3.213519,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
c-native,3.55343
c-drio,3.160098
c-c-empty,3.152742,0
c-c-empty,3.153584,0
c-c-dm,3.223059,0
c-c-dm,3.215696,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.28
c-c-dm-errs-good,3.21728,0
c-c-dm-errs-bad,3.215255,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.29
c-native,3.554966
c-drio,3.159269
c-c-empty,3.160661,0
c-c-empty,3.154185,0
c-c-dm,3.200695,0
c-c-dm,3.221674,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.27
c-c-dm-errs-good,3.20738,0
c-c-dm-errs-bad,3.201294,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.25
c-native,3.554422
c-drio,3.150363
c-c-empty,3.153416,0
c-c-empty,3.161436,0
c-c-dm,3.23701,0
c-c-dm,3.321162,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.38
c-c-dm-errs-good,3.20775,0
c-c-dm-errs-bad,3.200563,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
