buff_size,primes,env,time
128,10000,Native,0.39779
128,10000,DRIO-Opt,0.368561
128,10000,DRIO-Empty,0.368651
128,10000,DRIO-Empty,0.357276
128,10000,DRIO-Monitored,0.384898
128,10000,DRIO-Monitored,0.384988
128,10000,Native,0.39934
128,10000,DRIO-Opt,0.368137
128,10000,DRIO-Empty,0.368258
128,10000,DRIO-Empty,0.357373
128,10000,DRIO-Monitored,0.37758
128,10000,DRIO-Monitored,0.375375
128,10000,Native,0.39928
128,10000,DRIO-Opt,0.357214
128,10000,DRIO-Empty,0.363893
128,10000,DRIO-Empty,0.357457
128,10000,DRIO-Monitored,0.374809
128,10000,DRIO-Monitored,0.384627
128,10000,Native,0.3986
128,10000,DRIO-Opt,0.36815
128,10000,DRIO-Empty,0.363307
128,10000,DRIO-Empty,0.365974
128,10000,DRIO-Monitored,0.380246
128,10000,DRIO-Monitored,0.380339
128,10000,Native,0.39717
128,10000,DRIO-Opt,0.357571
128,10000,DRIO-Empty,0.357499
128,10000,DRIO-Empty,0.363049
128,10000,DRIO-Monitored,0.384869
128,10000,DRIO-Monitored,0.374716
128,10000,Native,0.397262
128,10000,DRIO-Opt,0.357277
128,10000,DRIO-Empty,0.357438
128,10000,DRIO-Empty,0.357371
128,10000,DRIO-Monitored,0.38469
128,10000,DRIO-Monitored,0.380827
128,10000,Native,0.399179
128,10000,DRIO-Opt,0.357445
128,10000,DRIO-Empty,0.357503
128,10000,DRIO-Empty,0.368176
128,10000,DRIO-Monitored,0.374065
128,10000,DRIO-Monitored,0.37641
128,10000,Native,0.398992
128,10000,DRIO-Opt,0.364157
128,10000,DRIO-Empty,0.35762
128,10000,DRIO-Empty,0.357468
128,10000,DRIO-Monitored,0.383451
128,10000,DRIO-Monitored,0.385128
128,10000,Native,0.397252
128,10000,DRIO-Opt,0.357332
128,10000,DRIO-Empty,0.357459
128,10000,DRIO-Empty,0.361692
128,10000,DRIO-Monitored,0.378911
128,10000,DRIO-Monitored,0.377697
128,10000,Native,0.399069
128,10000,DRIO-Opt,0.357327
128,10000,DRIO-Empty,0.357471
128,10000,DRIO-Empty,0.359194
128,10000,DRIO-Monitored,0.374317
128,10000,DRIO-Monitored,0.374048
128,20000,Native,1.582403
128,20000,DRIO-Opt,1.405669
128,20000,DRIO-Empty,1.407673
128,20000,DRIO-Empty,1.412404
128,20000,DRIO-Monitored,1.441916
128,20000,DRIO-Monitored,1.447865
128,20000,Native,1.584687
128,20000,DRIO-Opt,1.407255
128,20000,DRIO-Empty,1.409665
128,20000,DRIO-Empty,1.422438
128,20000,DRIO-Monitored,1.443781
128,20000,DRIO-Monitored,1.441272
128,20000,Native,1.585106
128,20000,DRIO-Opt,1.407058
128,20000,DRIO-Empty,1.409748
128,20000,DRIO-Empty,1.427548
128,20000,DRIO-Monitored,1.442764
128,20000,DRIO-Monitored,1.441749
128,20000,Native,1.581635
128,20000,DRIO-Opt,1.40859
128,20000,DRIO-Empty,1.408018
128,20000,DRIO-Empty,1.451501
128,20000,DRIO-Monitored,1.445679
128,20000,DRIO-Monitored,1.442293
128,20000,Native,1.58751
128,20000,DRIO-Opt,1.407395
128,20000,DRIO-Empty,1.409812
128,20000,DRIO-Empty,1.409134
128,20000,DRIO-Monitored,1.448947
128,20000,DRIO-Monitored,1.454748
128,20000,Native,1.582359
128,20000,DRIO-Opt,1.413435
128,20000,DRIO-Empty,1.414443
128,20000,DRIO-Empty,1.412743
128,20000,DRIO-Monitored,1.441806
128,20000,DRIO-Monitored,1.449397
128,20000,Native,1.582518
128,20000,DRIO-Opt,1.407591
128,20000,DRIO-Empty,1.40898
128,20000,DRIO-Empty,1.417352
128,20000,DRIO-Monitored,1.45102
128,20000,DRIO-Monitored,1.442157
128,20000,Native,1.589909
128,20000,DRIO-Opt,1.416817
128,20000,DRIO-Empty,1.429549
128,20000,DRIO-Empty,1.406359
128,20000,DRIO-Monitored,1.442746
128,20000,DRIO-Monitored,1.441461
128,20000,Native,1.590652
128,20000,DRIO-Opt,1.406418
128,20000,DRIO-Empty,1.407191
128,20000,DRIO-Empty,1.455115
128,20000,DRIO-Monitored,1.474681
128,20000,DRIO-Monitored,1.452334
128,20000,Native,1.582864
128,20000,DRIO-Opt,1.407879
128,20000,DRIO-Empty,1.409115
128,20000,DRIO-Empty,1.441621
128,20000,DRIO-Monitored,1.443402
128,20000,DRIO-Monitored,1.456791
128,30000,Native,3.551981
128,30000,DRIO-Opt,3.16303
128,30000,DRIO-Empty,3.155552
128,30000,DRIO-Empty,3.153571
128,30000,DRIO-Monitored,3.207152
128,30000,DRIO-Monitored,3.23621
128,30000,Native,3.554993
128,30000,DRIO-Opt,3.152073
128,30000,DRIO-Empty,3.157375
128,30000,DRIO-Empty,3.152219
128,30000,DRIO-Monitored,3.210396
128,30000,DRIO-Monitored,3.265605
128,30000,Native,3.556338
128,30000,DRIO-Opt,3.163578
128,30000,DRIO-Empty,3.163246
128,30000,DRIO-Empty,3.168499
128,30000,DRIO-Monitored,3.208269
128,30000,DRIO-Monitored,3.21754
128,30000,Native,3.556927
128,30000,DRIO-Opt,3.153858
128,30000,DRIO-Empty,3.152143
128,30000,DRIO-Empty,3.154822
128,30000,DRIO-Monitored,3.209453
128,30000,DRIO-Monitored,3.227951
128,30000,Native,3.555065
128,30000,DRIO-Opt,3.185446
128,30000,DRIO-Empty,3.161364
128,30000,DRIO-Empty,3.152503
128,30000,DRIO-Monitored,3.215613
128,30000,DRIO-Monitored,3.219925
128,30000,Native,3.555965
128,30000,DRIO-Opt,3.188474
128,30000,DRIO-Empty,3.188279
128,30000,DRIO-Empty,3.167159
128,30000,DRIO-Monitored,3.267681
128,30000,DRIO-Monitored,3.2197
128,30000,Native,3.555459
128,30000,DRIO-Opt,3.170992
128,30000,DRIO-Empty,3.156243
128,30000,DRIO-Empty,3.156502
128,30000,DRIO-Monitored,3.219701
128,30000,DRIO-Monitored,3.207272
128,30000,Native,3.555524
128,30000,DRIO-Opt,3.166424
128,30000,DRIO-Empty,3.16466
128,30000,DRIO-Empty,3.153993
128,30000,DRIO-Monitored,3.2054
128,30000,DRIO-Monitored,3.208264
128,30000,Native,3.556982
128,30000,DRIO-Opt,3.153624
128,30000,DRIO-Empty,3.184591
128,30000,DRIO-Empty,3.150613
128,30000,DRIO-Monitored,3.225748
128,30000,DRIO-Monitored,3.215258
128,30000,Native,3.556835
128,30000,DRIO-Opt,3.159067
128,30000,DRIO-Empty,3.176409
128,30000,DRIO-Empty,3.174807
128,30000,DRIO-Monitored,3.208343
128,30000,DRIO-Monitored,3.203554
128,40000,Native,6.310507
128,40000,DRIO-Opt,5.59424
128,40000,DRIO-Empty,5.587252
128,40000,DRIO-Empty,5.605722
128,40000,DRIO-Monitored,5.667827
128,40000,DRIO-Monitored,5.676212
128,40000,Native,6.317715
128,40000,DRIO-Opt,5.602683
128,40000,DRIO-Empty,5.600538
128,40000,DRIO-Empty,5.595369
128,40000,DRIO-Monitored,5.665493
128,40000,DRIO-Monitored,5.670561
128,40000,Native,6.313865
128,40000,DRIO-Opt,5.58879
128,40000,DRIO-Empty,5.59506
128,40000,DRIO-Empty,5.627623
128,40000,DRIO-Monitored,5.66562
128,40000,DRIO-Monitored,5.676143
128,40000,Native,6.314613
128,40000,DRIO-Opt,5.591041
128,40000,DRIO-Empty,5.622318
128,40000,DRIO-Empty,5.643669
128,40000,DRIO-Monitored,5.664588
128,40000,DRIO-Monitored,5.65941
128,40000,Native,6.312598
128,40000,DRIO-Opt,5.609518
128,40000,DRIO-Empty,5.589057
128,40000,DRIO-Empty,5.593982
128,40000,DRIO-Monitored,5.665646
128,40000,DRIO-Monitored,5.667105
128,40000,Native,6.308262
128,40000,DRIO-Opt,5.588671
128,40000,DRIO-Empty,5.597728
128,40000,DRIO-Empty,5.58736
128,40000,DRIO-Monitored,5.6658
128,40000,DRIO-Monitored,5.666463
128,40000,Native,6.315863
128,40000,DRIO-Opt,5.604593
128,40000,DRIO-Empty,5.591483
128,40000,DRIO-Empty,5.598695
128,40000,DRIO-Monitored,5.678504
128,40000,DRIO-Monitored,5.667092
128,40000,Native,6.31286
128,40000,DRIO-Opt,5.607173
128,40000,DRIO-Empty,5.616975
128,40000,DRIO-Empty,5.590796
128,40000,DRIO-Monitored,5.682602
128,40000,DRIO-Monitored,5.66471
128,40000,Native,6.313052
128,40000,DRIO-Opt,5.596455
128,40000,DRIO-Empty,5.591423
128,40000,DRIO-Empty,5.699913
128,40000,DRIO-Monitored,5.669657
128,40000,DRIO-Monitored,5.664716
128,40000,Native,6.307558
128,40000,DRIO-Opt,5.588596
128,40000,DRIO-Empty,5.591576
128,40000,DRIO-Empty,5.595001
128,40000,DRIO-Monitored,5.68124
128,40000,DRIO-Monitored,5.708116
512,10000,Native,0.397844
512,10000,DRIO-Opt,0.364248
512,10000,DRIO-Empty,0.362941
512,10000,DRIO-Empty,0.365687
512,10000,DRIO-Monitored,0.395199
512,10000,DRIO-Monitored,0.406305
512,10000,Native,0.397167
512,10000,DRIO-Opt,0.357409
512,10000,DRIO-Empty,0.357564
512,10000,DRIO-Empty,0.357478
512,10000,DRIO-Monitored,0.374227
512,10000,DRIO-Monitored,0.378834
512,10000,Native,0.397663
512,10000,DRIO-Opt,0.362309
512,10000,DRIO-Empty,0.360961
512,10000,DRIO-Empty,0.368161
512,10000,DRIO-Monitored,0.380999
512,10000,DRIO-Monitored,0.374473
512,10000,Native,0.399165
512,10000,DRIO-Opt,0.367568
512,10000,DRIO-Empty,0.360385
512,10000,DRIO-Empty,0.365476
512,10000,DRIO-Monitored,0.373846
512,10000,DRIO-Monitored,0.378348
512,10000,Native,0.397444
512,10000,DRIO-Opt,0.367854
512,10000,DRIO-Empty,0.363769
512,10000,DRIO-Empty,0.364683
512,10000,DRIO-Monitored,0.373842
512,10000,DRIO-Monitored,0.374255
512,10000,Native,0.397796
512,10000,DRIO-Opt,0.357537
512,10000,DRIO-Empty,0.357641
512,10000,DRIO-Empty,0.357834
512,10000,DRIO-Monitored,0.373841
512,10000,DRIO-Monitored,0.379337
512,10000,Native,0.3992
512,10000,DRIO-Opt,0.367971
512,10000,DRIO-Empty,0.357581
512,10000,DRIO-Empty,0.368994
512,10000,DRIO-Monitored,0.374556
512,10000,DRIO-Monitored,0.384981
512,10000,Native,0.399273
512,10000,DRIO-Opt,0.357179
512,10000,DRIO-Empty,0.368086
512,10000,DRIO-Empty,0.368649
512,10000,DRIO-Monitored,0.384691
512,10000,DRIO-Monitored,0.385182
512,10000,Native,0.399325
512,10000,DRIO-Opt,0.357232
512,10000,DRIO-Empty,0.357253
512,10000,DRIO-Empty,0.358741
512,10000,DRIO-Monitored,0.374203
512,10000,DRIO-Monitored,0.375896
512,10000,Native,0.397606
512,10000,DRIO-Opt,0.36857
512,10000,DRIO-Empty,0.357535
512,10000,DRIO-Empty,0.357354
