c-native,1.582911
c-drio,1.417331
c-c-empty,1.453561,0
c-c-empty,1.442245,0
c-c-dm,1.442347,0
c-c-dm,1.442202,0
c-c-dm-stats,0,17698,2302,0,17698,2302,0
c-c-dm-errs-good,1.44204,0
c-c-dm-errs-bad,1.44748,0
c-c-dm-errs-stats,0,19232,768,0,19232,768,77
c-native,1.583329
c-drio,1.432581
c-c-empty,1.445943,0
c-c-empty,1.440256,0
c-c-dm,1.451647,0
c-c-dm,1.487545,0
c-c-dm-stats,0,18769,1231,0,18769,1231,0
c-c-dm-errs-good,1.487059,0
c-c-dm-errs-bad,1.447044,0
c-c-dm-errs-stats,0,18944,1056,0,18944,1056,106
c-native,1.584445
c-drio,1.430813
c-c-empty,1.442198,0
c-c-empty,1.44168,0
c-c-dm,1.441496,0
c-c-dm,1.442665,0
c-c-dm-stats,0,19118,882,0,19118,882,0
c-c-dm-errs-good,1.442128,0
c-c-dm-errs-bad,1.442957,0
c-c-dm-errs-stats,0,19189,811,0,19189,811,82
c-native,1.584682
c-drio,1.417186
c-c-empty,1.463233,0
c-c-empty,1.472135,0
c-c-dm,1.443629,0
c-c-dm,1.469818,0
c-c-dm-stats,0,19182,818,0,19182,818,0
c-c-dm-errs-good,1.468555,0
c-c-dm-errs-bad,1.448608,0
c-c-dm-errs-stats,0,19140,860,0,19140,860,86
c-native,1.582345
c-drio,1.411367
c-c-empty,1.441977,0
c-c-empty,1.440258,0
c-c-dm,1.441323,0
c-c-dm,1.439952,0
c-c-dm-stats,0,17075,2925,0,17075,2925,0
c-c-dm-errs-good,1.441578,0
c-c-dm-errs-bad,1.449157,0
c-c-dm-errs-stats,0,19010,990,0,19010,990,98
c-native,1.587981
c-drio,1.434987
c-c-empty,1.44144,0
c-c-empty,1.438825,0
c-c-dm,1.447375,0
c-c-dm,1.440329,0
c-c-dm-stats,0,19052,948,0,19052,948,0
c-c-dm-errs-good,1.461946,0
c-c-dm-errs-bad,1.450508,0
c-c-dm-errs-stats,0,19136,864,0,19136,864,85
c-native,1.590029
c-drio,1.439741
c-c-empty,1.440996,0
c-c-empty,1.440294,0
c-c-dm,1.446112,0
c-c-dm,1.440038,0
c-c-dm-stats,0,19238,762,0,19238,762,0
c-c-dm-errs-good,1.471225,0
c-c-dm-errs-bad,1.440879,0
c-c-dm-errs-stats,0,19296,704,0,19296,704,71
c-native,1.582406
c-drio,1.407659
c-c-empty,1.443007,0
c-c-empty,1.461609,0
c-c-dm,1.46299,0
c-c-dm,1.439965,0
c-c-dm-stats,0,19195,805,0,19195,805,0
c-c-dm-errs-good,1.442306,0
c-c-dm-errs-bad,1.442624,0
c-c-dm-errs-stats,0,19054,946,0,19054,946,95
c-native,1.584958
c-drio,1.414887
c-c-empty,1.486241,0
c-c-empty,1.470319,0
c-c-dm,1.483948,0
c-c-dm,1.440107,0
c-c-dm-stats,0,19071,929,0,19071,929,0
c-c-dm-errs-good,1.456695,0
c-c-dm-errs-bad,1.442724,0
c-c-dm-errs-stats,0,19250,750,0,19250,750,75
c-native,1.582751
c-drio,1.408049
c-c-empty,1.443228,0
c-c-empty,1.469444,0
c-c-dm,1.444172,0
c-c-dm,1.45098,0
c-c-dm-stats,0,18342,1658,0,18342,1658,0
c-c-dm-errs-good,1.461029,0
c-c-dm-errs-bad,1.447681,0
c-c-dm-errs-stats,0,19280,720,0,19280,720,72
c-py-empty-c,1.442746,0
c-py-empty-py,28.343502319,0
c-py-dm-c,1.442687,0
c-py-dm-py,29.971178596,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.441217,0
c-py-empty-py,30.534855722,0
c-py-dm-c,1.440461,0
c-py-dm-py,29.483435916,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.440376,0
c-py-empty-py,29.889605278,0
c-py-dm-c,1.442115,0
c-py-dm-py,31.092453559,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.441882,0
c-py-empty-py,30.045239891,0
c-py-dm-c,1.450973,0
c-py-dm-py,28.299494315,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.440401,0
c-py-empty-py,30.504074953,0
c-py-dm-c,1.440411,0
c-py-dm-py,27.988350669,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.440771,0
c-py-empty-py,29.137800487,0
c-py-dm-c,1.465101,0
c-py-dm-py,31.155116147,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.46225,0
c-py-empty-py,29.980774342,0
c-py-dm-c,1.44046,0
c-py-dm-py,30.417758267,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.467929,0
c-py-empty-py,31.046367845,0
c-py-dm-c,1.4494,0
c-py-dm-py,29.954508503,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460317,0
c-py-empty-py,29.54279576,0
c-py-dm-c,1.469267,0
c-py-dm-py,30.275372527,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.440375,0
c-py-empty-py,30.043745631,0
c-py-dm-c,1.483691,0
c-py-dm-py,29.865304766,0
c-py-dm-stats,0,19980,20,0,19980,20,0
py-native,15.540837685
py-drio,28.658017479
py-py-empty,30.614760613,0
py-py-empty,30.246075247,0
py-py-dm,29.678290976,0
py-py-dm,29.632695093,0
py-py-dm-stats,0,19463,537,0,19463,537,0
py-native,15.302644469
py-drio,30.277374237
py-py-empty,30.328618648,0
py-py-empty,30.077131978,0
py-py-dm,30.268385262,0
py-py-dm,30.502279848,0
py-py-dm-stats,0,19650,350,0,19650,350,0
py-native,15.311600904
py-drio,30.866611225
py-py-empty,29.837480473,0
py-py-empty,29.8424397,0
py-py-dm,29.489410013,0
py-py-dm,29.918841961,0
py-py-dm-stats,0,19640,360,0,19640,360,0
py-native,15.262094119
py-drio,30.872149081
py-py-empty,29.276074107,0
py-py-empty,30.502378669,0
py-py-dm,30.01872974,0
py-py-dm,29.125714235,0
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.409633077
py-drio,30.027230354
py-py-empty,30.690812349,0
py-py-empty,30.202428829,0
py-py-dm,29.95631277,0
py-py-dm,30.214942787,0
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.226546621
py-drio,30.234562401
py-py-empty,29.749226045,0
py-py-empty,30.308858766,0
py-py-dm,29.246867289,0
